epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,1946.75,0.91089,0.56023,1.14209,0.97696,0.9635,0.98843,0.77178,0.89772,0.4334,1.23228,0.000841625,0.000841625,0.000841625
35,2002.4,0.89935,0.55099,1.14118,0.98191,0.97736,0.99121,0.78934,0.83924,0.42534,1.19202,0.00082925,0.00082925,0.00082925
36,2058.01,0.89975,0.55586,1.14645,0.98113,0.98173,0.99208,0.77549,0.87586,0.41021,1.24187,0.000816875,0.000816875,0.000816875
37,2113.51,0.89114,0.53601,1.1375,0.98738,0.97765,0.9924,0.78444,0.87455,0.41472,1.22326,0.0008045,0.0008045,0.0008045
38,2180.5,0.88251,0.53611,1.13068,0.97443,0.97825,0.98982,0.78085,0.83442,0.42858,1.20594,0.000792125,0.000792125,0.000792125
39,2230.76,0.87457,0.53462,1.13401,0.97982,0.97098,0.98586,0.78788,0.8125,0.41412,1.16642,0.00077975,0.00077975,0.00077975
40,2286.63,0.85164,0.51701,1.11646,0.97329,0.9775,0.99112,0.80699,0.807,0.39767,1.17365,0.000767375,0.000767375,0.000767375
41,2342.65,0.86092,0.52483,1.12698,0.97799,0.98673,0.99193,0.78136,0.85103,0.41464,1.2075,0.000755,0.000755,0.000755
42,2397.76,0.83356,0.51073,1.10094,0.98019,0.987,0.99114,0.79957,0.82806,0.39067,1.18495,0.000742625,0.000742625,0.000742625
43,2454.06,0.8301,0.50785,1.10255,0.9885,0.98299,0.99232,0.7957,0.83563,0.37953,1.20562,0.00073025,0.00073025,0.00073025
44,2509.76,0.83878,0.49654,1.10091,0.99081,0.97757,0.99205,0.80895,0.78139,0.37779,1.15898,0.000717875,0.000717875,0.000717875
45,2565.33,0.82981,0.49677,1.10086,0.97684,0.98361,0.98784,0.79976,0.79197,0.38915,1.17216,0.0007055,0.0007055,0.0007055
46,2620.75,0.82792,0.4973,1.10615,0.98087,0.97583,0.99146,0.80427,0.80655,0.38122,1.17823,0.000693125,0.000693125,0.000693125
47,2676.51,0.79272,0.47542,1.08593,0.99034,0.98366,0.98851,0.80799,0.79071,0.36838,1.19354,0.00068075,0.00068075,0.00068075
48,2731.98,0.79592,0.47964,1.08496,0.97717,0.98969,0.99065,0.80355,0.81398,0.37253,1.19544,0.000668375,0.000668375,0.000668375
49,2787.69,0.79218,0.4835,1.08387,0.98523,0.98345,0.9909,0.81118,0.76657,0.36697,1.15509,0.000656,0.000656,0.000656
50,2843.05,0.7885,0.47412,1.07909,0.98512,0.98401,0.99001,0.81542,0.79073,0.36278,1.17742,0.000643625,0.000643625,0.000643625
51,2898.85,0.77051,0.45979,1.07012,0.96661,0.98335,0.98953,0.80472,0.80488,0.38434,1.18238,0.00063125,0.00063125,0.00063125
52,2954.67,0.77894,0.46803,1.07109,0.98005,0.98805,0.99165,0.81138,0.78376,0.36605,1.17041,0.000618875,0.000618875,0.000618875
53,3010.02,0.78011,0.47112,1.08357,0.98569,0.99192,0.99029,0.82352,0.76281,0.34778,1.15977,0.0006065,0.0006065,0.0006065
54,3066.39,0.74494,0.44868,1.05759,0.98594,0.97784,0.99134,0.8175,0.76089,0.36118,1.17034,0.000594125,0.000594125,0.000594125
55,3122.41,0.73903,0.43994,1.05467,0.97116,0.98747,0.99174,0.8313,0.71902,0.35167,1.12125,0.00058175,0.00058175,0.00058175
56,3177.95,0.73387,0.43566,1.04732,0.99142,0.98156,0.99234,0.83197,0.72649,0.34599,1.13729,0.000569375,0.000569375,0.000569375
57,3233.41,0.73854,0.44684,1.05013,0.99098,0.99233,0.99229,0.82783,0.73706,0.33841,1.1481,0.000557,0.000557,0.000557
58,3289.29,0.72336,0.43695,1.04817,0.99027,0.98371,0.99087,0.82734,0.72646,0.34432,1.13079,0.000544625,0.000544625,0.000544625
59,3345.05,0.72446,0.44236,1.03869,0.98813,0.98162,0.9915,0.81536,0.74326,0.3446,1.13846,0.00053225,0.00053225,0.00053225
60,3400.72,0.70954,0.42353,1.03466,0.98647,0.99045,0.99153,0.82195,0.71967,0.33186,1.12341,0.000519875,0.000519875,0.000519875
61,3456.7,0.71514,0.42902,1.03407,0.99012,0.99197,0.99281,0.83648,0.74237,0.3237,1.16192,0.0005075,0.0005075,0.0005075
62,3512.4,0.68478,0.42006,1.02417,0.99271,0.98585,0.99277,0.83398,0.72818,0.33439,1.15717,0.000495125,0.000495125,0.000495125
63,3567.98,0.68726,0.41744,1.02796,0.99148,0.98537,0.99223,0.83061,0.72602,0.3243,1.16993,0.00048275,0.00048275,0.00048275
64,3623.43,0.69168,0.41506,1.02671,0.98658,0.9868,0.99163,0.84065,0.70339,0.32043,1.13434,0.000470375,0.000470375,0.000470375
65,3679.05,0.67341,0.40714,1.01959,0.99053,0.98534,0.99154,0.8431,0.70953,0.33035,1.13939,0.000458,0.000458,0.000458
66,3734.83,0.67176,0.41484,1.01494,0.98931,0.98797,0.9911,0.84236,0.70932,0.32362,1.13965,0.000445625,0.000445625,0.000445625
67,3790.15,0.66055,0.40179,1.00238,0.99467,0.9896,0.99219,0.8399,0.70304,0.33131,1.14846,0.00043325,0.00043325,0.00043325
68,3845.95,0.65948,0.40171,1.00222,0.98494,0.98657,0.99145,0.83934,0.72081,0.32579,1.16409,0.000420875,0.000420875,0.000420875
69,3902.24,0.66218,0.39988,1.00594,0.99108,0.98408,0.99011,0.84303,0.70909,0.31877,1.15733,0.0004085,0.0004085,0.0004085
70,3958.8,0.64193,0.38494,1.00306,0.97959,0.98786,0.98923,0.84034,0.71057,0.32393,1.1622,0.000396125,0.000396125,0.000396125
71,4014.86,0.63549,0.3822,0.99406,0.97994,0.99113,0.98777,0.85079,0.68777,0.3133,1.15285,0.00038375,0.00038375,0.00038375
72,4070.49,0.63583,0.38496,0.99353,0.9836,0.99305,0.99232,0.84836,0.68475,0.31541,1.12273,0.000371375,0.000371375,0.000371375
73,4126.7,0.63413,0.3877,0.99158,0.98874,0.98955,0.9915,0.84612,0.69886,0.31897,1.15602,0.000359,0.000359,0.000359
74,4182.33,0.62256,0.38007,0.98637,0.98687,0.97996,0.98856,0.84916,0.68033,0.31867,1.13678,0.000346625,0.000346625,0.000346625
75,4237.95,0.61692,0.37648,0.9825,0.98302,0.98289,0.99138,0.84827,0.67991,0.31847,1.14651,0.00033425,0.00033425,0.00033425
76,4293.77,0.60811,0.37026,0.97797,0.98398,0.98617,0.99188,0.85751,0.6741,0.30901,1.13666,0.000321875,0.000321875,0.000321875
77,4350,0.6081,0.37549,0.98331,0.98949,0.98276,0.99301,0.84514,0.68157,0.31735,1.1488,0.0003095,0.0003095,0.0003095
78,4405.88,0.60075,0.36478,0.97644,0.99182,0.97708,0.99044,0.84982,0.68808,0.32161,1.16146,0.000297125,0.000297125,0.000297125
79,4461.59,0.59631,0.36551,0.97484,0.98701,0.98903,0.99244,0.85311,0.68297,0.31454,1.1565,0.00028475,0.00028475,0.00028475
80,4517.31,0.5875,0.36262,0.97217,0.99079,0.98424,0.9909,0.85326,0.68293,0.30844,1.16871,0.000272375,0.000272375,0.000272375
81,4574.52,0.58373,0.36006,0.9655,0.9838,0.98503,0.98646,0.84981,0.67033,0.31046,1.14904,0.00026,0.00026,0.00026
82,4631.4,0.58048,0.35807,0.96698,0.99049,0.98941,0.98934,0.8579,0.64673,0.29789,1.13336,0.000247625,0.000247625,0.000247625
83,4687.98,0.56935,0.35321,0.96426,0.98247,0.98592,0.99046,0.852,0.66467,0.30156,1.15581,0.00023525,0.00023525,0.00023525
84,4743.32,0.56642,0.34784,0.95709,0.98493,0.9854,0.99054,0.8619,0.66746,0.29451,1.14862,0.000222875,0.000222875,0.000222875
85,4799.04,0.56296,0.3488,0.95521,0.9775,0.9924,0.99235,0.86058,0.66103,0.30286,1.16017,0.0002105,0.0002105,0.0002105
86,4855.43,0.55755,0.3453,0.95874,0.98751,0.98185,0.98995,0.85962,0.66206,0.29874,1.15076,0.000198125,0.000198125,0.000198125
87,4911.57,0.54727,0.34081,0.9557,0.9846,0.988,0.99292,0.86601,0.64932,0.29904,1.15105,0.00018575,0.00018575,0.00018575
88,4966.99,0.54147,0.33402,0.95187,0.98576,0.9821,0.99119,0.86426,0.65887,0.30029,1.16349,0.000173375,0.000173375,0.000173375
89,5022.77,0.53994,0.3342,0.94833,0.98751,0.982,0.991,0.86591,0.65815,0.29668,1.15547,0.000161,0.000161,0.000161
90,5078.99,0.52591,0.32928,0.94368,0.98767,0.98471,0.99132,0.86855,0.64832,0.28993,1.15803,0.000148625,0.000148625,0.000148625
91,5141.53,0.44293,0.25574,0.91097,0.98638,0.98838,0.99052,0.85411,0.66286,0.30221,1.16203,0.00013625,0.00013625,0.00013625
92,5194.33,0.41318,0.2363,0.88833,0.9897,0.99443,0.99234,0.86102,0.64735,0.29283,1.15262,0.000123875,0.000123875,0.000123875
93,5248.72,0.41049,0.23532,0.88892,0.98948,0.99169,0.99237,0.86358,0.64137,0.29468,1.14206,0.0001115,0.0001115,0.0001115
94,5302.91,0.39906,0.22966,0.88078,0.98689,0.98504,0.98651,0.86579,0.64218,0.29211,1.14983,9.9125e-05,9.9125e-05,9.9125e-05
95,5357.25,0.3889,0.22529,0.8758,0.98748,0.99165,0.99218,0.8702,0.63709,0.28854,1.15052,8.675e-05,8.675e-05,8.675e-05
96,5411.63,0.39194,0.22737,0.87549,0.98815,0.98692,0.98884,0.86797,0.63462,0.28792,1.14934,7.4375e-05,7.4375e-05,7.4375e-05
97,5466.03,0.38425,0.22482,0.87404,0.9882,0.9887,0.99082,0.87243,0.63118,0.28473,1.15021,6.2e-05,6.2e-05,6.2e-05
98,5520.33,0.37282,0.21947,0.86795,0.98724,0.98917,0.99105,0.87124,0.62942,0.28647,1.15152,4.9625e-05,4.9625e-05,4.9625e-05
99,5574.79,0.37284,0.21861,0.86547,0.98318,0.98872,0.98934,0.87332,0.62768,0.28673,1.15771,3.725e-05,3.725e-05,3.725e-05
100,5629.28,0.3654,0.21661,0.86062,0.98861,0.98806,0.99119,0.87277,0.62639,0.28574,1.14932,2.4875e-05,2.4875e-05,2.4875e-05
